time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss
8192,1045,1,7,,,,,,,,,,,,
16384,880,1,9,0.50887451171875,0.002726614475250244,0.2,10,0.001,9674.0,36593.4,0.051960606,-2.020194800198078,122.05533599853516,-0.07049262545770034,437.10586009025576
24576,941,1,8,0.5286376953125,0.6823605895042419,0.2,20,0.001,9659.5,36920.45,0.052096814,-2.0218201741576194,157.30825805664062,-0.07230922012822702,433.67567524909975
32768,845,1,9,0.51722412109375,0.7397040724754333,0.2,30,0.001,9103.333333333334,36409.333333333336,0.0435199,-1.995403279364109,120.42998504638672,-0.07340746019763174,389.20591535568235
40960,840,1,9,0.51143798828125,0.3501148819923401,0.2,40,0.001,8613.25,36035.675,0.038462173,-1.98235351331532,125.8171615600586,-0.07059642651584,376.2443296432495
49152,847,1,9,0.420751953125,0.9397877044975758,0.2,50,0.001,9022.8,36401.520000000004,0.03269326,-1.9988020546734333,215.45480346679688,-0.06673351758217905,559.334375667572
57344,723,1,11,0.400439453125,0.9180506244301796,0.2,60,0.001,8586.0,35894.333333333336,0.038733833,-2.011244823038578,124.8551025390625,-0.061904929595766586,353.33943610191346
65536,715,1,11,0.5351318359375,0.21135801076889038,0.2,70,0.001,8328.714285714286,35679.357142857145,0.045494296,-1.9353557713329792,156.34913635253906,-0.07351571193285053,469.37541179656984
73728,778,1,10,0.31549072265625,0.9686376415193081,0.2,80,0.001,8502.125,35689.4875,0.023641843,-2.0124057568609715,152.0637969970703,-0.05507435193721903,363.8555551528931
81920,702,1,11,0.49044189453125,0.9271032810211182,0.2,90,0.001,8186.5,35171.170000000006,0.047185168,-1.9568228486925363,173.79489135742188,-0.06557539996429114,427.6542140960693
90112,657,1,12,0.31435546875,0.9523470215499401,0.2,100,0.001,7740.363636363636,34852.1090909091,0.028986838,-1.9898315925151109,155.1100311279297,-0.053837968519655985,345.83882308006287
98304,740,1,11,0.524951171875,0.9830309059470892,0.2,110,0.001,7490.153846153846,34752.64615384616,0.046738498,-1.8348133232444526,296.75811767578125,-0.07224641930006329,1050.8548075675965
106496,622,1,13,0.47877197265625,0.9664353542029858,0.2,120,0.001,6933.266666666666,34432.59333333334,0.024950426,-1.8541001662611962,217.3584442138672,-0.06235777211259119,714.842459487915
114688,645,1,12,0.61778564453125,0.003060758113861084,0.2,130,0.001,6227.0,34194.666666666664,0.032115173,-1.4976220857352018,462.025634765625,-0.07952799250197132,1969.4326957702638
122880,497,1,16,0.60325927734375,0.0013157129287719727,0.2,140,0.001,5523.0,33714.17272727274,0.02431275,-1.253454364836216,988.3817749023438,-0.0728671797143761,3178.534019088745
131072,635,1,12,0.60225830078125,0.0006039142608642578,0.2,150,0.001,4965.346153846154,32988.72692307692,0.031676535,-1.0848411954939365,1223.6995849609375,-0.07335987004335039,3755.7574028015138
139264,836,1,9,0.4312255859375,7.092952728271484e-05,0.2,160,0.001,4448.8387096774195,32252.974193548387,0.054075703,-0.7537334116175771,1803.4747314453125,-0.06177894499269314,5100.799269866943
147456,733,1,11,0.27449951171875,6.347894668579102e-05,0.2,170,0.001,3965.6486486486488,31400.667567567572,0.0822842,-0.5523412918671966,2162.719482421875,-0.0472768010920845,5998.003207397461
155648,670,1,12,0.10465087890625,9.5367431640625e-05,0.2,180,0.001,3607.2093023255816,30712.43720930233,0.034697965,-0.2800588108133525,2969.8642578125,-0.0221325878839707,7845.229058837891
163840,647,1,12,0.058544921875,-1.0013580322265625e-05,0.2,190,0.001,3330.3673469387754,30158.10612244898,0.010865107,-0.2196882335934788,3151.012451171875,-0.013224444787192624,8127.220445251465
172032,564,1,14,0.0357421875,2.562999725341797e-06,0.2,200,0.001,3111.4363636363637,29713.696363636365,0.0021279387,-0.1576837663538754,3069.636962890625,-0.008221864177903626,8000.485272216797
180224,626,1,13,0.0229736328125,5.364418029785156e-07,0.2,210,0.001,2935.4590163934427,29356.024590163932,0.0008235109,-0.11639570952393115,2918.45556640625,-0.005186859430250479,7692.180354309082
